file,focus,glare_frac,illumination_spread,quality_score,gradable,reasons
IDRiD_01.jpg,29.644977569580078,0.0,0.1577387899160385,0.9684522420167924,True,
IDRiD_02.jpg,7.957353115081787,0.0,0.21455827355384827,0.7057556301355362,False,blurry
IDRiD_03.jpg,33.050689697265625,0.0,0.14470107853412628,0.9710597842931747,True,
IDRiD_04.jpg,30.640886306762695,0.0,0.3248172402381897,0.9350365519523621,True,
IDRiD_05.jpg,34.0600700378418,0.0,0.19766564667224884,0.9604668706655503,True,
IDRiD_06.jpg,29.55206298828125,0.0009505368939011693,0.2964603006839752,0.9264498864546874,True,
IDRiD_07.jpg,37.26906967163086,0.0,0.16976870596408844,0.9660462588071823,True,
IDRiD_08.jpg,27.39497184753418,0.0,0.14193853735923767,0.9716122925281525,True,
IDRiD_09.jpg,28.836660385131836,0.0,0.18998649716377258,0.9620027005672456,True,
IDRiD_10.jpg,35.60185241699219,0.0,0.2471957504749298,0.9505608499050141,True,
